Sppcode	strComName	strSciName	MGCode	MGName	N MU Tight	N MU Expanded	HabMG_Ha (Tight)	HabMG_Ha (Expanded)	MacroGroup % Increase
mNOSSx	Northern Short-tailed Shrew	Blarina brevicauda	7.B.2	Pasture & Hay Field Crop	1	1	33,663,453.2	33,663,453.2	0
rYBSLx	Yellow-backed Spiny Lizard	Sceloporus uniformis	M010	Madrean Lowland Evergreen Woodland	2	3	281,283.0	281,394.6	0
bATSPx	American Tree Sparrow	Spizella arborea	M023	Southern Vancouverian Montane-Foothill Forest	1	7	10,082.8	1,722,741.8	99
bLEGOx	Lesser Goldfinch	Carduelis psaltria	M048	Central Rocky Mountain Montane-Foothill Grassland & Shrubland	2	6	66,617.0	329,741.6	80
bLEGOx	Lesser Goldfinch	Carduelis psaltria	M118	Intermountain Basins Cliff, Scree & Badlands Sparse Vegetation	2	6	2,755,079.6	3,593,562.3	23
bPISIx	Pine Siskin	Carduelis pinus	M069	Eastern North American Marsh, Wet Meadow & Shrubland	2	5	825,557.2	2,672,849.8	69
bPIWOx	Pileated Woodpecker	Dryocopus pileatus	M007	Longleaf Pine Woodland	18	20	5,969,116.6	6,072,070.4	2
bPIWOx	Pileated Woodpecker	Dryocopus pileatus	M009	Californian Forest & Woodland	4	9	3,092,358.2	3,991,097.3	23
bPIWOx	Pileated Woodpecker	Dryocopus pileatus	M016	Southern & South-Central Oak - Hickory - Pine Forest & Woodland	22	28	26,835,111.9	28,979,134.5	7
bAMWOx	American Woodcock	Scolopax minor	M029	Central Hardwoods Floodplain Forest	6	9	545,994.2	3,588,428.0	85
bAMWOx	American Woodcock	Scolopax minor	M057	Eastern North American Dune & Coastal Grassland	5	8	111,582.8	142,011.6	21
bMOWAx	Mourning Warbler	Oporornis philadelphia	9.A	Introduced & Semi Natural Vegetation	1	6	0.0	15,360.6	100
bMOWAx	Mourning Warbler	Oporornis philadelphia	M069	Eastern North American Marsh, Wet Meadow & Shrubland	2	5	1,489,090.9	1,521,291.6	2
bPISIx	Pine Siskin	Carduelis pinus	M009	Californian Forest & Woodland	9	9	5,032,927.2	5,285,588.9	5
bPIWOx	Pileated Woodpecker	Dryocopus pileatus	M023	Southern Vancouverian Montane-Foothill Forest	7	7	6,221,727.4	6,221,727.4	0
bPIWOx	Pileated Woodpecker	Dryocopus pileatus	M024	Vancouverian Lowland & Montane Forest	10	10	6,058,719.6	6,058,719.6	0
bPIWOx	Pileated Woodpecker	Dryocopus pileatus	M029	Central Hardwoods Floodplain Forest	7	9	2,792,153.7	2,944,240.7	5
bSNBUx	Snow Bunting	Plectrophenax nivalis	M029	Central Hardwoods Floodplain Forest	2	9	394,805.3	1,096,919.6	64
bSNBUx	Snow Bunting	Plectrophenax nivalis	M057	Eastern North American Dune & Coastal Grassland	3	8	30,554.6	33,588.4	9
bSNBUx	Snow Bunting	Plectrophenax nivalis	M118	Intermountain Basins Cliff, Scree & Badlands Sparse Vegetation	1	6	189,311.3	759,863.6	75
bSNBUx	Snow Bunting	Plectrophenax nivalis	M131	Eastern North American Alpine Tundra	1	2	3,586.7	6,453.6	44
bATSPx	American Tree Sparrow	Spizella arborea	M071	Great Plains Marsh, Wet Meadow, Shrubland & Playa	3	4	796,049.9	992,404.1	20
bPISIx	Pine Siskin	Carduelis pinus	9.A	Introduced & Semi Natural Vegetation	3	6	4,521,967.2	13,743,919.1	67
bPISIx	Pine Siskin	Carduelis pinus	M308	Southern Barrens & Glade	2	2	3,698.1	3,698.1	0
bRTHUx	Ruby-throated Hummingbird	Archilochus colubris	M065	Southeastern Coastal Bog & Fen	1	1	554,915.9	554,915.9	0
bSNBUx	Snow Bunting	Plectrophenax nivalis	M077	Great Plains Saline Wet Meadow & Marsh	1	1	94,550.3	94,550.3	0
bATSPx	American Tree Sparrow	Spizella arborea	M076	Warm Desert Lowland Freshwater Marsh, Wet Meadow & Shrubland	1	2	1,421.3	4,240.8	66
bLEGOx	Lesser Goldfinch	Carduelis psaltria	M094	Cool Interior Chaparral	1	2	66,224.8	83,288.3	20
bMERLx	Merlin	Falco columbarius	M092	North America Warm-Desert Xeric-Riparian Scrub	1	1	554,985.5	554,985.5	0
bMERLx	Merlin	Falco columbarius	M162	Florida Peninsula Scrub & Herb	1	1	125,624.9	125,624.9	0
bPISIx	Pine Siskin	Carduelis pinus	M057	Eastern North American Dune & Coastal Grassland	3	8	91,459.3	121,090.4	24
bPIWOx	Pileated Woodpecker	Dryocopus pileatus	M065	Southeastern Coastal Bog & Fen	1	1	616,470.2	616,470.2	0
bSPGRx	Spruce Grouse	Falcipennis canadensis	M024	Vancouverian Lowland & Montane Forest	4	10	1,206,563.6	1,213,065.7	1
mCGGSx	Cascade Golden-mantled Ground Squirrel	Callospermophilus saturatus	M024	Vancouverian Lowland & Montane Forest	1	10	1,119.2	610,808.2	100
bAMWOx	American Woodcock	Scolopax minor	M016	Southern & South-Central Oak - Hickory - Pine Forest & Woodland	14	28	9,596,897.3	30,660,279.4	69
bATSPx	American Tree Sparrow	Spizella arborea	M029	Central Hardwoods Floodplain Forest	4	9	1,694,663.2	3,472,128.7	51
bMERLx	Merlin	Falco columbarius	8.A	Developed & Urban	4	4	4,562,184.5	11,321,526.0	60
bMERLx	Merlin	Falco columbarius	9.A	Introduced & Semi Natural Vegetation	3	6	2,844,958.5	3,570,947.3	20
bMERLx	Merlin	Falco columbarius	M049	Southern Rocky Mountain Montane Shrubland	2	2	1,177,838.3	1,177,838.3	0
bMERLx	Merlin	Falco columbarius	M069	Eastern North American Marsh, Wet Meadow & Shrubland	4	5	14,281.3	452,359.4	97
bPISIx	Pine Siskin	Carduelis pinus	M029	Central Hardwoods Floodplain Forest	7	9	1,160,132.7	3,593,180.3	68
